bmi_<20,bmi_20-25,bmi_25-30,bmi_30+
AL358232.2,SPOCK2,CLIP2,RPL34
AL353595.1,ARC,MGP,ANKRD34C-AS1
RASSF8-AS1,LYNX1,HIC2,R3HDM1
FAM171A2,ATP6V0B,AC092440.1,DENND5B
PTPN14,CHD5,GBA,SLC25A12
ENTR1,FOXJ2,LIMD2,RASGRF1
STARD13,HTR5A-AS1,IGF1,OSBPL6
IGSF21,DYNLRB1,AC073348.2,USP33
MEST,AC124016.2,OR3A2,NAA16
NECTIN3-AS1,ART3,TSPAN18,CACNA2D1
STAG3,SMARCC2,MEPE,TENT4B
CMYA5,RPL18,RCSD1,ARHGEF11
RPS25,THY1,AC105924.1,RNF213-AS1
DMKN,TMEM9,COL19A1,DHX36
AL109809.5,ADGRB2,SLIT3,CDC14B
ZKSCAN1,PDE2A,AC006296.3,KIF3A
KAZN,TLE5,UPP2,ZBTB8OS
AL353586.1,UBA1,XYLT1,GGT7
USP2-AS1,PNMA2,ITGB5,ADAM17
RPL9,TP53I11,LINC02477,SETD5
DBNDD2,KLHL21,FPR2,HOOK1
GALR1,SYT7,LINC00683,ZRANB2
PAGR1,ZIM2,SFMBT2,RALGAPA1
DECR1,CASKIN1,AC011297.1,RASA3
B2M,AP003469.4,RNF212,EXOC6B
PELI3,PTPRN,SNTG2,HSPA4
LINC01102,KLF10,PROX1-AS1,MYH10
RHOBTB2,TSPYL2,KLHL1,ARHGAP32
AC011472.1,GPX4,LINC02641,ZNF106
HMGN3,IGSF9B,MT-ND4,MAP2K4
AC243829.1,FURIN,ACAP3,CSAD
LIFR-AS1,VSTM2L,HYDIN,MYO9A
NRBP2,RPS15,LINC01876,DYNC1H1
AC011995.2,FASN,PNISR,HMGCS1
LINC01266,TMBIM6,FAM107B,AHI1
KANSL3,TMEM179,LY96,IFT43
WAC-AS1,SRSF3,APOL6,CDKL1
PLAG1,HSPA13,NKAIN2,STAU2
NGEF,RRAGA,AC007368.1,MYCBP2
AC004594.1,TMA7,LINC00871,MOSMO
CRTAP,ARHGEF25,FSHB,LINC02224
AC239860.4,VGF,CDH19,HERC1
PTH2R,EID1,AL590705.1,HACE1
ISCU,AMZ1,DOCK11,PTPN4
TXK,GUK1,MORC1,TSPAN7
AC007038.1,EIF5A,COL25A1,SLC38A1
UPF3B,CD81,PLCXD1,THY1
PGAP2,HSP90AB1,FIGN,CCDC66
LINC01278,RPL27,LINC01239,AZIN2
SPG7,SYT11,AC068025.1,UNC13B
ANXA4,NONO,AC018697.1,RABGEF1
ITPKB,GALNTL6,MELTF-AS1,ATP5IF1
LINC00440,SRI,LINC00278,ARMC9
MOV10L1,CARMIL2,BX664615.2,ITGB1BP1
AC243829.2,PCNT,RGS20,EPB41L5
VDAC3,CLN8,AL445423.1,LCOR
PIN4,SIN3B,AC079340.3,TMEM181
SPAG6,EIF4H,LPAR4,SNAP25
CNPY2,TMEM70,AL122014.1,SNX14
ABCA10,LINC02634,DGKK,SGK3
