,bmi_<20,bmi_20-25,bmi_25-30,bmi_30+
282,AC004158.1,DAZAP2,PACRG-AS1,GALNT2
283,NUTM2A-AS1,GNAS,LINC01088,SNX14
284,ARL4C,ATP6V1D,AC099782.2,MAPK14
285,LINC02263,HIP1R,AC110992.1,ARIH1
286,FAXC,H2AFX,LINC02518,MIRLET7BHG
287,RIC3,SRSF8,AC012405.1,TTC19
288,ATP13A2,SYNJ2,RCSD1,CDK13
289,KCNAB2,OLFM1,AL591888.1,LRRC8D
290,TMEM160,AC009063.2,WDR86,MIB1
291,FGF12,FOS,LINC02324,DHX36
292,KAZN-AS1,PPP1R15A,PPP2R3B,CAMSAP2
293,SYT14,GFAP,AL109910.1,TAF15
294,RASSF4,CLDND1,GPSM3,SPART
295,KIAA0319L,CLCN7,HMOX1,IWS1
296,NGEF,TOLLIP,NOX5,ERGIC1
297,CLDN16,EMC10,CU634019.5,CEP290
298,NYAP1,ENO1,AGMO,AUTS2
299,GRIN2A,NDE1,PIK3R5,ARHGEF7
300,PIDD1,VSTM2B,NBPF26,PPP6R2
301,KLHDC3,PHLDA3,CSF1R,DNM3
302,CCDC82,MT3,OPALIN,PPP2R5C
303,ANKS1B,SMARCC2,FCGR2A,ANKH
304,ZRANB3,SIRT7,ABCA13,KLHL25
305,RFLNA,FAM120AOS,GAL3ST4,PAK5
306,AL157944.1,MAPK3,IFI16,TNRC6B
307,PCSK1N,EEF1A1,MYO1F,CSAD
308,ANK1,CBX6,ADAMTS15,ANKRD11
309,ITPK1,TIMM44,LINC02070,DENND5B
310,GFOD1,HS6ST1,SIRPB2,NKTR
311,RCOR3,GADD45B,HLA-DMA,URGCP
312,MAP1A,SAMD1,ACSM5,FAM66C
313,FXYD7,TSPYL1,GADL1,HNRNPC
314,RSAD2,DDIT4,ALX4,ACSL6
315,TMEM151B,GTF2I,CCL26,CBFA2T2
316,NQO2,FBXO21,CD68,MYSM1
317,PRMT7,RPL32,AC087639.2,DNAJB6
318,VWA3A,SIN3B,GPR65,DLGAP4
319,PRSS55,TPT1,LINC02836,SHPRH
320,SULT1A1,CTSF,TNFAIP8,FAM193B
321,SLC26A10,ADGRB1,PPP1R14A,FBXO11
322,M6PR,SUMO2,PLA2G2A,ZNF483
323,ATP6V0E2,FKBP8,SMIM36,MGST3
324,RAPGEF6,ARL8A,OTOF,GPATCH2L
325,KALRN,CDIP1,TRABD2B,ZNF280D
326,CLEC2L,PFKL,C5orf63,SGSM1
327,AC104335.2,C19orf18,LINC00443,CERS5
328,UPF3B,RELA,POTEG,TENT2
329,SEPTIN9,RPL18A,AC010291.1,NSD1
330,SEMA3A,RBM48,PTGDR,TMEM178B
331,SUN3,MOAP1,FCER1G,UTP23
332,AL357873.1,RPL15,AC079148.2,IFT43
333,TAZ,TMA7,MAG,TENT4B
334,CIP2A,SCD,AC069404.1,UBN2
335,MCF2L2,RTKN,NID2,FXR1
336,FAM131B,ZNF565,AC096589.1,SETX
337,PKD1,SRSF11,HMGA1P4,SLTM
338,DOCK3,UBB,CLEC1A,ITSN1
339,MRNIP,REEP5,TDRD9,MIAT
340,SEC24B-AS1,CLTA,ZIC1,FOXN3
341,AC016598.2,EVA1C,LPAR6,NCOA7
342,LINC01680,TRABD,LPAR4,NDUFS1
343,UNC5A,FKBP4,DOCK2,KLHL23
344,ZBTB16,RHOB,TBX15,ARHGEF11
345,KDM5C,FXYD6,AOAH,NCOR1
346,GIPC1,ATXN2L,CD37,FAM13B
347,KLHDC10,SLC17A7,AC108057.1,PER2
348,UBAC2,OMG,SLC47A1,TRA2B
349,NRXN3,TPI1,MMP14,UBE3C
350,SHFL,RPRML,SLC6A1-AS1,ABL1
351,DELE1,PRR18,INPP5D,SNX9
352,AC005537.1,CDC34,PGM5,STAT3
353,PELI3,RTN4RL2,AC079015.1,ADNP2
354,KIF17,LRRC8A,AC115485.1,GLG1
355,SCN1B,SPINT2,KCNH8,PKN2
356,EFNA5,CREBZF,CD33,NFASC
357,THEM6,ARHGDIA,AL357522.1,DPH6-DT
358,LINC01252,SF1,FOXD2-AS1,INPP5F
359,MX1,RPL18,AC023886.1,MICAL3
360,ABLIM2,RPLP0,AC116667.1,SPIN1
361,P4HTM,FGD5-AS1,AL355075.4,CNNM2
362,YPEL4,RPS15,LILRB3,MFAP3L
363,NAALAD2,MTA1,LINC02058,HS2ST1
364,SYT16,GDI1,GABRE,U2SURP
365,MTFMT,LINC01089,ALOX15B,LEPR
366,LINC00294,HNRNPAB,PCED1B-AS1,N4BP2L2
367,CARMIL1,TBCB,LINC02251,TNRC18
368,LINC02320,SOX10,SIGLEC8,FUBP3
369,LINC02217,DDX24,AL157371.2,ASAP2
370,SUGP2,GPI,EFCAB13,UBR1
371,NPIPA8,ZNF488,LINC01480,NOP58
372,ZNF385B,SEPTIN3,AC090125.1,DZIP1
373,RAB37,AZGP1,NRP2,RAB11FIP4
374,FAM106C,CBWD5,AC097512.1,CHKA
375,STRADA,ERMN,AL590783.1,PHACTR4
376,AL355472.3,RPL23A,AL356807.1,TTLL11
377,SLC26A4,IRS2,LINC00899,APC
378,RAP1GAP2,RDX,AL358232.2,POR
379,CMC2,RPS6KA5,MBNL3,ABHD3
380,ISCU,MT2A,TFEC,RPL26
381,COBL,AP003469.4,HSD17B2,SPIRE1
382,PDK1,SC5D,ARHGAP24,UPF3A
383,USP2-AS1,LINC02607,LINC02109,APBA1
384,GMDS-DT,RPS25,CASP10,TRPM7
385,LRRK1,SON,IL18R1,BRAF
386,SLC24A2,EIF4G2,S100A11,SPTBN4
387,SEC14L5,RPL14,GAB3,RAB11A
388,FAM162A,ABHD17A,LINC00920,VPS53
389,OPALIN,SLC3A2,SCART1,SRRM3
390,DHRS11,CYHR1,TCF21,DYRK1A
391,CCNI,TSPYL2,CYBA,HPRT1
392,CNTNAP2,CLK1,AC007877.1,ZNF516
393,CC2D1A,AUP1,PACRG-AS3,PWWP2A
394,PSD,ICAM5,AC093607.1,DNAJC7
395,AC093843.2,OTUD6B-AS1,AL359987.1,ELF2
396,C20orf203,ATP6V1B2,TMEM144,USP45
397,KCNH1,SPNS2,PLP1,ITGB3BP
398,AL672277.1,RPS13,FCGR3A,PLA2G4C
399,MRI1,MKNK2,TLR1,RBBP6
400,OBSL1,CDK2AP1,AC068756.1,MFHAS1
401,FNDC10,NGRN,NCKAP1L,VTI1A
402,STAC2,PCBP2,LINC01170,MAP4K4
403,DCX,PEBP1,SAP25,SRP54
404,SLC13A3,MAF1,AC011306.1,NSG2
405,SCRT1,RACK1,SCIN,SLMAP
406,GABRA6,NECTIN1,GPC5-AS1,TPST2
407,RNF34,M6PR,LILRB2,MBNL1
408,LZTS1,HPCA,CASC6,AGO2
409,ROS1,EIF1AX,C3AR1,FARP1
410,AP1G2,BCL2L2,BX664615.2,BANP
411,TTC8,KLF15,AC073941.1,WNK1
412,HAPLN4,CBX7,CFI,ANKHD1
413,CHRD,FASN,LINC02812,MAP2K4
414,AC243829.1,ZIM2,VRK2,UBE2B
415,RPL7A,GUK1,AL163541.1,WSB1
416,ITPR1,COPRS,AP000688.2,KIF2A
417,ZFAND2B,AC009318.1,LINC02611,MARCH7
418,ZNF714,USP22,CFHR4,CHORDC1
419,FRRS1L,NELFCD,GATA6-AS1,PRICKLE2
420,HAGH,AL023284.4,PKP2,SLC4A5
421,CEP68,RPS7,FMOD,RPAP2
422,ASTN1,KIAA0930,NPIPA8,HMGB1
423,PPP2R2B,SHISA4,PCDH15,HECTD4
424,TFAP2E,SLC48A1,LINC00871,ERI3
425,HECW2,HEXIM1,SLC7A11,NSMCE2
426,TTC4,ARRDC2,TNFRSF11B,VPS13C
427,PIN4,RPL30,AC087672.2,PRDM2
428,LAMB1,CBX5,GIMAP2,SON
429,TNNT2,PHYHIP,GSDMD,FAM120A
430,AUXG01000058.1,HPCAL4,JAML,SYNE1
