,bmi_<20,bmi_20-25,bmi_25-30,bmi_30+
523,SLC25A45,ZNF24,AC092535.4,IBTK
524,DHDDS,RPL28,LINC01877,DNAJC6
525,SNHG14,POMT1,CRYGN,DGKE
526,CTDSPL,BOK,CXCL12,ZSWIM5
527,NR2F1-AS1,DCXR,RREB1,MGA
528,TMEM145,PLEKHH1,MAGEC3,TRERF1
529,TERF2IP,EFHD2,AC011297.1,NPRL3
530,CCDC3,SLC44A1,ITGBL1,ST3GAL5
531,ZNF821,TRIM8,WAS,ANKRD27
532,COQ4,SQLE,ASB18,WDR59
533,AL138927.1,TFAP2E,OLR1,GGT7
534,IFFO1,JAKMIP3,FOLR2,PKD2
535,TUBGCP5,HSPA2,AL080284.1,MOK
536,GAD1,AP1S1,FCGBP,USP33
537,FOCAD,TSC22D4,AL589787.1,RBM25
538,ZNF428,PHGDH,SLFN12,POM121
539,TSPAN5,LINC02762,HCK,MCU
540,SATB1,ATP1B1,GLIDR,PPP2R2C
541,AL662844.4,IL34,LINC02277,PDXK
542,KLHL32,ZDHHC11B,NUTM2B-AS1,AIG1
543,LRRC39,CSRNP1,TMEM123,AOPEP
544,ULK3,PNMA2,AC010768.4,GNAQ
545,FBXO22,EIF4B,GTF2H4,AGFG1
546,CDKL5,CRIP2,GDPD3,SND1
547,CCND2,PFDN2,AL161640.1,ZNF131
548,TRANK1,SDR39U1,AC012447.1,NAA16
549,SCN8A,NARS,RHOG,GIPC2
550,NECTIN3-AS1,PRPF8,HSPA2,HNRNPM
551,LINC00463,TMEM132A,AC060765.1,FAM219A
552,RHOXF1-AS1,SOWAHA,CSF2RA,FTO
553,MTURN,SAP30,WNK4,CEP85L
554,LINC00882,TMSB10,PLBD1,PPM1L
555,BCL2L2,MAP1LC3B,ATP6V0D2,ARID4A
556,TMEM178B,STARD10,PLD4,PTPRN2
557,AFF3,ARGLU1,IRX6,C1orf61
558,ABTB1,PSD,PATL2,MIR7-3HG
559,TRIM7,DISP3,CPAMD8,SLC45A4
560,PDE10A,RPS5,GNGT1,DNM2
561,P2RX6,RPS8,AC124068.2,PHC2
562,MXD3,LCNL1,RGS10,CDS2
563,TMEM18,MSMO1,AC004687.1,ATXN10
564,LUZP1,SERINC3,AC079793.1,MAP3K5
565,VEGFA,UBE2M,TSKU,TACC1
566,SLC2A1-AS1,CIAO2B,TMEM71,MDM4
567,VSTM2L,DUXAP8,NKAIN4,HERC2
568,SRGAP3,HSPA1A,CLCA4,PPP2R5E
569,DISP2,IP6K2,SIPA1,SMARCA4
570,MISP3,GTF3C1,AC073348.2,TTF2
571,PSMG3-AS1,PRRC2A,IL1R1,TMEM178A
572,ZNF883,ATP6V1F,AC026316.5,PTPN9
573,TSPAN9,MORF4L2,ARHGAP36,GARS-DT
574,SLC26A8,CDK2AP2,ADORA3,UBR3
575,TECPR1,NFE2L1,FLVCR2,SELENOO
576,KIAA1211L,CLSTN1,LPAR5,INTS3
577,NPY1R,KCNJ10,AC092490.2,TTC17
578,LINC01937,HNRNPA3,AC008060.1,ZNF106
579,RPL15,UBE2I,AC093903.1,CUL1
580,NRSN2,PTGES3,TGFBI,CRY2
581,MRPS30-DT,PPP3CB-AS1,AC025171.2,MSI2
582,AL357054.2,POLR2A,LINC01010,RAB21
583,AC007038.1,SNHG25,PADI2,PRR14L
584,OSBPL6,MAP1S,CHMP1B-AS1,NMNAT2
585,FNDC4,RTL8C,AC092440.1,ZFYVE28
586,DNM1,ADIPOR2,BTNL2,COG7
587,AC016598.1,ZFAND5,CEBPD,ANKIB1
588,RXFP1,CCT6A,EYA2,ADAM17
589,MRPS25,AC091180.5,SPHKAP,COX10-AS1
590,KBTBD12,PIDD1,PLPP2,UGGT2
591,DMKN,DYNLRB1,LINC02122,TASOR2
592,AC006504.5,LINC00844,TYMP,NR3C2
593,CNTNAP1,SERTAD1,KLRC3,BBS9
594,ZNF436-AS1,PTP4A2,NLRP4,STYXL1
595,DIPK1B,SIRT2,FPR2,NSD3
596,BBC3,APEX1,AC114763.1,APIP
597,FAM66C,ATP6V0B,IRX3,SNX3
598,EID2B,SLC7A5,SIGLEC10,SRRM1
599,NAPRT,C1orf115,SIRPB1,TMCC1
600,CERCAM,RPS19,AL591115.1,MYO9A
601,RAP1GAP,BAG6,LINC01550,APP
602,RGS7,DDX51,LINC02334,TRIM9
603,MYO5C,RPL4,SLAMF8,CREBBP
604,CAMK2N2,PIP4K2B,AC007344.1,CCND2
605,NMD3,C4orf3,LYN,NUFIP2
606,PGBD1,AP001977.1,FCER1A,SETD3
607,RPL3,CALM3,ITGAX,CD47
608,AATK,PPP1R9B,MIR4435-2HG,UBQLN1
609,ME3,TIAL1,ZP3,LIMCH1
610,MICAL2,TGOLN2,HLA-DOA,NRF1
611,IFIT1,CAPN3,TFPI,CDC42SE2
612,KLHL29,ARFGAP2,DLEU1,NPLOC4
613,RABGEF1,MLX,LINC02477,DENND1A
614,ST7,PCSK7,BLNK,BMPR2
615,AC105383.1,CADM4,TCIRG1,KIF21A
616,AMY2B,RRAGA,MACORIS,SMYD3
617,PPM1H,MNT,CFLAR,MLLT10
618,MOV10L1,STMN1,PLB1,SORCS2
619,SGSM2,PYGB,TMEM9B-AS1,UBE2E1
620,NPHP4,SNRNP200,AL445985.2,NOL4L
621,TSHZ3,DNAJB1,FAM25G,IGF1R
622,RAB3A,GLUL,CRYZ,MAIP1
623,SUMF1,ATG13,COL9A3,AF117829.1
624,LINC01695,KLHDC3,CLIC6,PRRC2B
625,PIK3R1,TMEM59L,AC083795.2,SNAP23
626,CYP4A22-AS1,NPTXR,LMX1A,LARS
627,CADPS2,UBE2Q1,UCP2,ERO1B
628,MMP24,EFCAB5,NLRP1,SCAI
629,SNRPA1,DVL1,LINC02307,SLC25A25
630,USP46,PRMT1,MS4A6E,RNF149
631,STARD4-AS1,SERF2,BTN2A2,SMC5
632,SEPTIN7,MYO9B,PALMD,ATP6V0A1
633,GPRASP1,PLLP,AC093833.1,DOCK4
634,EPB41L4A-AS1,AP2M1,RNASE2,PPM1K
635,PRPF19,EXOSC6,KRT18,ZNF875
636,GRID1,EIF5A,C22orf34,RAB1A
637,ADD2,ATP1B2,DISC1,TRAF3IP2-AS1
638,C9orf129,TCP1,AC092834.1,MAST4
639,STX3,GPX4,LINC01597,TPCN1
640,DPP4,C1orf35,LINC02302,PHF20L1
641,CABCOCO1,SNN,AC092958.1,DNAJA4
642,P3H2-AS1,RAB6B,RASGEF1C,UNC79
643,APBA2,UPF1,CHRM5,HNRNPH1
644,MSANTD3,TLE5,AC092819.3,GNA12
645,KLF13,B4GAT1,AC106882.1,HSPD1
646,TRHDE-AS1,SOX8,IL21R,CDKL1
647,SV2A,CCT5,KLHDC7A,CTIF
648,LINC01250,LDHA,AC138646.1,TSC22D1
649,HERC1,AC137932.2,LINC02391,FAM222B
650,AC018467.1,USP2,BTK,HERC1
651,HDAC8,PIANP,ZNF600,FAM20C
652,RASSF5,GAPDH,LINC00706,SH3PXD2B
653,CACNA1A,NPIPB6,CT69,DMXL1
654,RUNDC3B,RPL21,PLXNA3,MEF2C-AS1
655,UPP1,RPL35A,AL138686.1,FAM193A
656,PYGB,EGR4,MAP3K8,WDR61
657,LRRC4B,PRPF19,AL359644.1,FBXO42
658,AL355672.1,HAX1,AC096589.2,STX16
659,DPT,RPS4X,MEDAG,ARFGEF1
660,LINC02245,MLLT11,AC009315.1,ARHGEF3
661,BTD,AL359636.2,FSHB,SGK3
662,AC034268.2,TTC8,TRPM3,SLC25A16
663,HSD11B1L,FAM27C,TNFRSF12A,PACS1
664,PIP4K2C,DBI,ATAD3C,PIKFYVE
665,RBM3,GRK2,SLC26A3,AP3D1
666,GAS1RR,LTBP3,ARHGAP30,MIA3
667,PKNOX2,TEF,AL024497.1,RC3H1
668,RPL7L1,UPK3BL1,AL512625.3,TNPO3
669,MICU3,ANKRD65,EFEMP1,EPHB1
670,C2CD5,ANKLE2,PYCARD,RNMT
671,CPEB1,ITGB8,AC010319.3,NAF1
672,TNRC6A,C1orf52,EDA,GLB1
673,SPRY4-AS1,AHSA1,SLA,MAP4K3
674,FAM153B,RTCA,AC012414.3,ERC1
675,KYAT1,HNRNPH1,LINC01954,NUP98
676,FN3K,KLHDC2,LINC00865,COLQ
677,EVA1C,RPL10A,AC104417.2,AFF4
678,ONECUT2,NIPAL3,ZNF83,RAB10
679,COL4A5,RPL6,TGIF2,MALSU1
680,CALM1,NCBP3,ANXA2,FBXW11
681,SVOP,ZNF302,TACR3,HOMER2
682,MPG,TMED9,AC083967.1,PTPRE
683,TPK1,PAXBP1,AC016152.1,MYCBP2
684,PNCK,TMEM70,EDA2R,EVL
685,RPL14,NUDT11,PWRN2,ZCCHC14
686,ATF6B,CALD1,PPP1R3B,RABGAP1
687,AC090241.2,BNIP3,FGF10-AS1,RIN2
688,GSTK1,LINC00271,SPATA22,TENT4A
689,SCN2A,NPC1,ALX3,HNRNPD
690,NAPEPLD,MIR4300HG,AL031056.2,VPS8
691,SH3GL3,GPR162,TTTY13,MRPS31
692,BICRAL,CTXN1,AGTR1,DHRSX
693,POLR2F,CA2,AC041005.1,TTBK2
694,MICU1,SRSF9,AL359555.4,FRA10AC1
695,PTGES2,SSU72,AC005050.3,COG5
696,GABRB2,SLC25A3,LTC4S,LGMN
697,AC108452.1,TGFBR3L,IFI30,SLC22A23
698,SYP,REPIN1,ZIC4,TMEM161B-AS1
699,AL118516.1,TRMT112,AC109472.1,LARP4
700,CORO2B,MTG1,LRMDA,CYFIP2
701,BCL7A,TMTC4,LINC02338,VMP1
702,SIRT5,AC131009.2,GBP2,VPS37B
703,DDX24,PLEKHB1,LINC00987,UBAP1
704,RETREG1,YWHAQ,C21orf62-AS1,DIS3L2
705,CD99L2,GTF2IRD2B,KIF23,ITGB1BP1
706,MAP3K21,P4HB,RSPO4,NAE1
707,AC107464.1,MOGS,GAPT,CTTN
708,PRDM2,THY1,HIST1H2BF,OR2L3
709,PCMTD1,ANTKMT,TEX14,TXNL4A
710,SHF,SRSF6,CU633906.2,RNF213-AS1
711,PIAS2,CDK18,CNGB1,UBE2O
712,KRAS,EPB41L4A-AS1,AC107391.1,SLC23A2
713,HMGN3,HSD17B12,IL22RA1,CHFR
714,INHA,TRIR,TNFSF8,DDX39B
715,DOP1B,U2AF2,SIGIRR,ZNF706
716,FAHD2B,C1QBP,MYL7,SLC35F5
717,DANT2,CYCS,EPS8,RABEP1
718,ANKMY1,COPS8,PIK3AP1,UQCRC2
719,SMIM7,GPS2,GUCA1C,SRRM2
720,ATP6V1D,ATP1A3,PGR-AS1,FLRT2
721,HS6ST1,MBP,AC091906.1,RANBP2
722,FRMPD4,TOMM6,TBX19,PACSIN2
723,AL353595.1,NPM1,SNTG2,WDR33
724,MFN1,SURF4,DOCK8,CTNNB1
725,DGKZ,IRF2BP2,LINC02470,E2F3
726,SATB2-AS1,C5orf24,AL645933.3,ELOVL6
727,GOLGA7B,PNPLA6,AC078842.2,NCOA6
728,LINC01771,KIAA0513,LDHAL6A,KLHL42
729,CATSPER2,S100A6,AL589935.3,UBR4
730,C3orf18,MAPK8IP2,OSR1,STX8
731,TNFSF12,NDRG2,TLR8,ACOT7
732,ST3GAL1,SEMA4D,FMO2,BTAF1
733,SH3GL2,MTERF4,CEACAM4,ATRX
734,ARHGEF2,NCDN,HPD,TCERG1
735,ALG1L2,TM2D3,U62317.4,TNFSF13B
736,AC009228.1,PTCSC2,ZBTB20-AS5,REV1
737,KCNQ5,KIF1A,OR8A1,RAP1GDS1
738,KCNAB3,RASL10A,TRIM5,SPG11
739,GFRA2,CIPC,HIST1H2BD,RASGRF1
740,SPTAN1,NFYB,AL035467.2,SOS2
741,TMLHE-AS1,COL9A2,MPEG1,RPL35
742,PLEKHM3,HEPACAM,AC116345.4,DDX5
743,AMDHD2,GSK3A,AC117465.1,PTPN12
744,RASL10A,ARHGEF17,AC103831.1,LINC00476
745,NORAD,EEF1D,LINC01594,LARP4B
746,CDRT4,CACYBP,UGT2B4,ANKS1A
747,KIF5A,PPP2R1A,AP000462.2,G3BP2
748,AC244131.2,GHITM,LINC01033,SLF2
749,AL157769.1,PKM,LINC00314,SPTAN1
750,CLCN4,DDX46,AP003100.2,PCCA
751,OXR1,ARPC5L,PAX3,GAK
752,PREPL,FSCN1,RMRP,B4GALT5
753,AC092683.1,PLPP2,AL603840.1,GOSR1
754,AC005906.2,MUC20,AC092110.1,GRIA2
755,PTPN11,RAB1B,ALOX5,CAP2
756,DCLK1,TIMP2,PRAM1,ZNF532
757,KSR2,TMEM9,BTN3A2,GPCPD1
758,LETMD1,YY1,AC079340.3,WDFY2
759,FBXO44,PDE2A,RAB6C,PLEKHA5
760,LINC00898,CTDNEP1,AL390964.1,CPE
761,CMPK2,ARPC5,LINC01609,AC079781.5
762,THRB,CDV3,RIN3,KIDINS220
763,DIRAS1,PIR,TP53INP1,ATP2B2
764,TNFRSF25,UBTF,AP001830.1,CPEB4
765,SCAI,TLE3,AL158195.1,SARNP
766,LDB1,RPL19,AL161752.1,FNBP4
767,PNMA6A,CCT6B,ACSM3,PTCD3
768,SYBU,ARC,LINC02335,ZSCAN18
769,STEAP2,RER1,TRPC7-AS1,CPEB3
770,AC078909.1,PYURF,MPZL2,RBM39
771,LHFPL5,YWHAB,RPA4,ATP11A
772,ZIM2,TTYH3,RGS18,ACACA
773,PDP1,RPS24,AC103591.3,ANKRD36B
774,LINC02254,B3GAT1,HOXB2,NAA35
775,SERGEF,RPL3,AC010503.1,PCM1
776,AC015943.1,CHD5,LINC01219,NIM1K
777,STX1A,CTSL,AL121908.1,GOLGA4
778,BAALC,SMARCD3,AL627316.1,CYTH3
779,ANAPC5,CANX,AC092546.1,MTDH
780,THAP9-AS1,SEC62,STX11,RUFY3
781,AC068587.4,CASKIN1,AL139220.2,BTRC
782,KCNF1,SYNGR3,CTAG2,C11orf58
783,EPB41L1,CALM1,AL731577.1,LUZP1
784,STRC,NAGLU,FGL1,CHD8
785,STOX2,RPS15A,GJB1,KTN1
786,CCDC102B,RPSA,TDRD5,GRIN2B
787,RNPS1,SAP18,GSTM1,ZBTB38
788,SSX2IP,SPRY2,AC124864.3,BAALC-AS1
789,AC024614.4,LONRF2,HLA-A,ZNF91
790,L1CAM,SUCLA2,LINC01416,TSGA10
791,AC091885.2,ATP6AP2,GPX3,AHCYL2
792,AC013652.1,PLOD3,LINC02705,ANKFY1
793,SIDT1-AS1,DHRS4L2,AC123912.4,EIF2AK2
794,RAPGEF5,UBALD1,LINC01804,ZNF37A
795,DAB2IP,XPC,SLC37A2,SLC25A29
796,FBN1,RPL8,ZBTB20-AS1,TRAPPC12
797,MMP25-AS1,SPRYD3,TTTY18,ACTN4
798,MEF2C,ADGRG1,HSP90AA1,NME7
799,TLCD4,NECAP1,AL354707.1,KIAA1841
800,LRRC8B,TCEAL1,IGLL1,RBMX
801,COL28A1,EDF1,LINC01099,UBL3
802,AL035530.2,UBA52,CR382287.2,RAB3GAP2
803,KMT2A,ARHGAP23,AIF1,NSUN2
804,RAD23A,DYNLL2,KLF2,FAR1
805,NRN1,MAPRE3,AL132800.1,EPB41L3
806,SF1,PLEKHG3,FOXD1,AC092835.1
807,LINC01102,LINGO1,HP,ZDHHC14
808,PREP,TMEM151A,SEPTIN4-AS1,TULP4
809,LAS1L,GDE1,MGP,CRLF3
810,USP43,HSPA1B,METTL7B,ZRANB2
811,CORO2A,PHLDB1,LINC02330,SRGAP2
812,Z94721.3,NPIPA1,OR3A2,TNRC6C
813,MRAP2,SPOCK2,AC016576.1,RELCH
814,LRRFIP2,KPNB1,LINC02632,HACE1
815,KCNMA1,ADAMTS2,AL139327.2,TRPC1
816,HR,EGLN2,SLC2A14,BTBD8
817,LINC00923,YIPF3,IL13RA1,GDAP1
818,KCNN1,RING1,NTM-AS1,RECK
819,UBAP1L,WDR83OS,FGD3,SCARB1
820,LIFR-AS1,GNB2,AC018742.1,GARNL3
821,MAGI1,ARPP19,AC021546.1,ZBTB11
822,FAM162B,RPL17,LINC02519,SBF2
823,ZFR2,TNRC6C-AS1,RNF212,PRPF3
824,AL591848.2,TMEM165,TOGARAM2,NEO1
825,SGTB,RASSF2,MAGI2-AS1,CCSER2
826,CNTN4,EDC4,AC015712.4,CXADR
827,AC116565.1,CCT8,TSPAN18,FRMD5
828,GNPTAB,NR1D1,RNF135,KANTR
829,DNAJC18,PGK1,TLR6,KHDRBS1
830,C1QTNF4,RPS27A,OMD,RUFY2
831,CCDC25,CDC37,AC018445.5,AGPAT4
832,TCERG1L,SUMO3,CYTIP,UNC13B
833,LINC00440,SLC5A3,LINC01094,CPSF6
834,SH3D21,SCML1,U62631.1,ANO10
835,LINC00626,MALAT1,LINC01885,CTBP2
836,LINC02666,KDSR,AC008127.1,ITGAV
837,AC008992.1,PTPRN,SCT,ITCH
838,MATK,DNM1,UBR5-AS1,MAP2K5
839,AC005908.3,CLDN11,AL353138.1,SLC25A12
840,PARVA,RAB11B,PGR,CHD6
841,C5orf56,PDCD7,WDFY4,FOXO3
842,PAPSS2,FBXO32,ZMYND15,CCNL1
843,LINC02359,C1orf122,HTR2C,PITPNA
844,RNF14,ATP5MD,IL1R2,BMERB1
845,FAM155A-IT1,MRPS26,LINC01836,IFT172
846,AC022613.1,FURIN,KCNE3,OSBPL1A
847,EPB41L4B,RCVRN,BST2,SLIRP
848,AKAP6,CTDSP2,AC104078.1,POM121C
849,LRRC20,RPL7L1,PHLDB2,ANKRD36
850,NISCH,MORF4L1,ACPP,DIDO1
851,AL358232.2,NPDC1,ZNF257,AC006001.2
852,SLC4A10,LY6H,AL031658.1,LIN52
853,MSH2,PDK2,AL360013.2,USP49
854,SMARCD2,C2orf74,AC022634.2,REV3L
855,KCNQ3,MARCKS,HEY2,RAF1
856,MPPE1,CSNK1E,AC026726.1,ABCB9
857,AQP4-AS1,NUP42,AC105213.1,SHANK2
858,COQ8A,INSIG1,AL691447.2,ZNF544
859,TSPYL2,SLC25A39,LINC02197,PAPOLA
860,GLIDR,EPOP,AL021707.6,NCALD
861,BCAS3,CHRNE,AL355314.2,AC009041.2
862,DMTN,SNCB,AC079848.2,DNAJA1
863,CAPN1,PTTG1IP,LINC00972,HM13
864,DNM1L,KCTD2,FCGR2B,SLC30A9
865,CFAP410,MT-ND4L,AC061708.1,YY1AP1
866,LINC00599,DUSP7,AC073062.1,BDP1
867,NEGR1,TRAPPC2,SIX2,ARHGEF10
868,AC005081.1,RNF187,ONECUT1,ABLIM1
869,MGST3,LZTS3,AC068025.1,GLS
870,CYP4X1,CYP51A1,LRRC8C-DT,ARHGEF9
871,KCNC4,SRPK3,AC006994.2,THOC1
872,LINC01814,HNRNPH3,AL136115.1,AFDN
873,MYH10,CLMN,COL18A1,CLNS1A
874,ATG14,TMED10,EVC2,DCUN1D1
875,AC040168.1,VWA1,CCL20,KSR2
876,SPSB3,C1QTNF4,LINC01735,WDR17
877,BABAM2,RPL29,AC092059.1,MRPS5
878,XYLB,ADRM1,CXorf21,HMGN1
879,NOS1AP,PSAT1,GAS1,RPL21
880,KDM2B,TCEAL7,POMC,MBTPS1
881,PNKD,ANAPC16,LINC01268,CADM1
882,PTPN5,OSGEP,CPZ,KDM4B
883,AC009262.1,FDPS,SHOC1,CCDC88A
884,U2AF1L4,SYT7,TMEM95,PFKFB3
885,ABCB9,KEAP1,LINC01312,STAT1
886,CFAP298,RBM22,AC011139.1,MIATNB
887,TMX4,TMEM63A,MXRA8,SNX1
888,TMEM107,PABPN1,CLDN7,SCFD1
889,TRPM2,KCNJ4,GPR1,TRRAP
890,SECISBP2,TUFM,CLEC4E,BOD1L1
891,ARHGAP26,BAIAP2,AL121872.1,SNHG5
892,AC073365.1,ITPKA,SPARC,KATNBL1
893,ADAM11,SLC31A2,AL033527.4,RRP12
894,AC104827.1,PRXL2A,AC010883.3,SFPQ
895,NUP93,SSNA1,SLC2A9,TMEM41B
896,DIPK1A,NUDT16L1,TNFAIP3,VEZT
897,FHOD3,CD59,TLR7,NDFIP1
898,SLC2A11,C1orf43,PTAFR,SMG7
899,UPK3BL1,TRAF4,AC060834.2,NDUFV3
900,MIR3976HG,NDUFAF4,AC091917.1,ABHD2
901,GMCL1,FAM178B,CCKAR,SMARCA5
902,ZYX,HNRNPH2,SERPINA1,ZHX2
903,AC025043.1,MMAB,HOXB-AS1,ITGA9-AS1
904,PPP1R3E,PSMD2,CERCAM,GIGYF2
905,UBE2M,STK31,AC006369.1,GTF2I
906,NRG1,DEGS1,BX284613.2,DYNC1H1
907,AL133516.1,BOD1L1,AC130307.1,TNKS
908,LYSMD4,BCAR1,SUSD3,PAXBP1
909,NCKIPSD,CGGBP1,XG,RCOR1
910,AC127521.1,TRIM2,AP000331.1,ACSL4
911,STXBP5-AS1,PTPA,MYO15B,TXLNG
912,NFIX,MFSD4A,LINC00345,TTC39B
913,BEND6,IFITM10,LINC01608,AVL9
914,CDK5R1,PRDX1,LINC00609,RPL24
915,AC010884.2,APMAP,SNX20,BTBD7
916,ST8SIA5,CBX3,AC098859.2,C17orf67
917,PLEKHG5,KIF27,LINC01606,AFF1
918,HK1,FAM221A,SAMD11,MAP7
919,LINC01197,CNIH2,MTRNR2L10,CARS2
920,BEX4,HSPA13,STEAP3,USP34
921,ATG9B,MFSD10,TTC22,ASPHD1
922,LINC00632,PAFAH1B2,LPCAT2,GSTA4
923,MAN1C1,C1orf198,AC091889.1,OXSR1
924,ENO2,HINT1,AC108463.3,PCDH9
925,BTF3,TCF25,AC087627.1,DMTF1
926,TCAF1,MXI1,TFAP2A-AS1,CACNB2
927,PEX11B,AMD1,AC096736.3,CAMK4
928,HLTF,SERPINB8,CCDC33,CCNT2
929,DCAF8,IGIP,AC073140.1,GABRB3
930,AF117829.1,AC239809.3,AC078881.1,CLSTN3
931,PEG13,EHD3,GBP3,MAST2
932,LINC02774,FLCN,NKX6-2,SPATS2L
933,ASAH2B,SSB,CMTM7,VCL
934,TTLL11,DNAJA1,BAG3,MEG3
935,MAGEE1,ARF3,AL590004.3,CDYL
936,WSCD2,FADS2,AL591518.1,PPP1R12B
937,MLH3,AAMP,AL162391.1,KAZN
938,MSLNL,RPL27,AC008786.1,AC024901.1
939,ITM2C,ATG9A,LINC00280,PDXDC1
940,AL158065.1,PLXNA1,RASAL3,FAM66A
941,NPM2,RAP1GAP,BHLHE22,RAB6A
942,SLC22A10,GIGYF1,VAV1,TAF4
943,DIRC3,DENND4B,AFDN-DT,AKAP9
944,STAT1,PIAS4,AC097467.3,RSRP1
945,SYN3,PFN2,SLCO1B3,AK3
946,CTXN3,TMEM258,UBE2U,SCN1A
947,PWP2,RPL37,LINC01846,PAG1
948,MTCH2,ATP5MF,CSF2RB,KDM2A
949,NLN,SELENOH,AP000755.1,THRAP3
950,MTG2,ATXN7L3B,TIMP1,MTMR12
951,APC2,CLCN6,SULF1,SIL1
952,TRMT10B,USP19,FZD10-AS1,EVI5
953,AP001266.2,RDH11,LINC00658,NPEPPS
954,POMGNT2,BTBD6,C5AR2,TMOD2
955,DLEU7,SOD2,LINC01324,BRF1
956,GPX4,NACC1,AL592156.2,CDC16
957,ZC3H6,ANKRD40,ANXA8,PUS7L
958,C6orf99,RPS3A,SELPLG,ZKSCAN1
959,TSPAN7,IER5,AC005342.2,UVRAG
960,KLHDC9,ARL6IP4,AC005863.1,TIAM2
961,KHDRBS2-OT,CPNE2,APOBEC3C,AGPAT5
962,TMEM155,LRFN4,MGAT1,DNAJC1
963,SCAMP5,ENOX2,AL391152.1,PEAK1
964,MTR,RSL1D1,FZD2,PCGF5
965,OPCML,CERS2,NAMPT,NSD2
966,LINC01117,TPP1,AC108863.2,OXNAD1
967,ANO4,UQCRB,HCRT,ADAR
968,NELFA,SUN1,NLRP6,GATAD2A
969,ABCA5,UBALD2,C11orf65,ADAM23
970,CASTOR3,LINC02763,BNC2-AS1,SRGAP2C
971,MTBP,COX8A,KCTD12,GABPB1-AS1
972,PIANP,LARP6,FFAR1,SEC14L1
973,KCNK9,RPL22,AC091953.1,ARMC2
974,GRIPAP1,NAPA,MSX1,SCFD2
975,SLF1,BSCL2,LINC01221,LINC00486
976,WDR64,RNPS1,GPIHBP1,PPP1R13B
977,MTUS2,CCT3,KLRC4,SIPA1L1
978,HMGN5,NNAT,QKI,ATG2B
979,UNC5D,ZNF652,ZNF727,ZMYM2
980,THEM4,USP11,AC103853.1,STXBP5-AS1
981,USP28,UAP1L1,AP001059.2,RNPC3
982,PPP2R2C,TOB1,AC138932.5,HSPA12A
983,MAMDC2,SUPT6H,ARHGAP6,PRKCH
984,KIF5C,ARL16,SMILR,ATXN7L1
985,RIMS2,ZNF664,TRIM34,WDR70
986,SUMF2,FBXW5,BMS1P14,POLK
987,CHRM3-AS2,RPS16,LINC01194,LUC7L
988,IFI6,ENC1,OR10K1,FAM126A
989,BTBD8,MYADM,BMF,ANAPC4
990,ENTR1,GPIHBP1,AL355361.1,ATP9A
991,MDH1,DEDD2,LDHC,NBAS
992,LLGL1,DND1,APBB1IP,PILRB
993,PDK3,NDUFB8,AC147067.1,MFSD14C
994,AL691432.4,LPGAT1,CARD6,TGS1
995,PBX1,PFDN5,CFD,METTL2B
996,FAM228A,PHB2,AP000428.2,MORC3
997,PRR22,ECI1,SLPI,GSK3B
998,SCG5,RSAD1,PANX3,KRTAP5-AS1
999,MARCH2,CDKN1B,KCNE4,RNF216
1000,CTIF,AUXG01000058.1,ASDURF,ZNF346
1001,AC104135.1,CLCN4,AC025164.1,WDFY3
1002,SEPTIN4,UQCRH,SYNGR2,FAM155A
1003,GSE1,CD46,NLGN4Y-AS1,UBXN2A
1004,CLASP2,AC124016.2,LINC00954,ABI1
1005,AC020704.1,WHRN,CYP1B1,FNIP1
1006,FOXRED1,AP002812.2,MIR924HG,TLN2
1007,CAMKV,FUS,IGF2-AS,ROCK1
1008,SLC6A17,WASHC3,CCR5AS,SNX25
1009,AGBL4,MRAS,LINC02278,TOP1
1010,NSD3,ERICH6,AL121762.2,SDCCAG8
1011,CBWD5,NOLC1,LEPR,KLC1
1012,KCNT1,FOXJ2,ZNF217,C7orf50
1013,ARHGDIG,BRD1,AC087588.2,XKR6
1014,AC243829.2,RABL2B,PLAAT4,PGP
1015,AC009126.1,SV2A,AC025431.1,POC1B
1016,MAPK8IP2,ARHGAP1,LINC01338,STOX2
1017,MARF1,STX4,OXER1,HECTD1
1018,KCNV1,C18orf32,AC093110.1,FAM66D
1019,AF106564.1,SYNM,IL15,NEK10
1020,FAM163A,THEM4,AC016730.1,DLG1
1021,AL139393.1,GABARAPL1,VIM-AS1,FRY
1022,AC007364.1,ERVK3-1,BX284668.2,KRIT1
1023,PPIE,DDN,DBNDD2,TSPOAP1
1024,POMGNT1,LUC7L3,LOXL1,DZIP3
1025,ACYP2,TF,HDAC2-AS2,SPECC1
1026,LYNX1,GNL1,TMEM72,JARID2
1027,NOS2,COPS6,GYPC,USP24
1028,TTC5,SPPL2B,AC008825.1,ECHDC2
1029,EIF1AX,ENO2,AP001790.1,STK40
1030,LINC02822,PNMA8A,KL,TOR1AIP2
1031,AZIN2,MT1E,PLEKHB1,MTR
1032,KCNK10,DUS1L,EGFLAM,TMEM184B
1033,SOX12,HSPA8,AL136171.2,SMAP2
1034,SCN4B,SNHG29,TYMS,CAB39
1035,LINC02427,POLR2C,AC092079.2,ALS2
1036,PTP4A3,MCRIP1,AL359834.1,SMG6
1037,SNX30,PNPLA2,AC007920.2,GPR137C
1038,SYT13,B4GALNT1,AL008582.1,NCOA3
1039,TMEM64,AL365259.1,OR3A1,MEIKIN
1040,SLC29A1,IVNS1ABP,PRR30,CATSPER2
1041,BBS7,ANGPTL4,AC136628.4,PRKCI
1042,PPFIBP1,PRR7,POSTN,ZNF717
