bmi_<20,bmi_20-25,bmi_25-30,bmi_30+
CD248,AK9,B4GALT1,MARVELD1
P2RY14,AC068587.4,AL356737.2,AC074212.1
NLRP1,EYA4,AC079148.2,IFT81
FAM106A,CAPSL,CAMK1D,FAM13C
THSD7A,IGFBP7,DHTKD1,MEF2C-AS1
PDE3B,ASPH,WNT5A,PRUNE2
CNN1,PTPRQ,SMG6,ITM2B
ADIRF,LINC02649,RARB,ATP6V0A1
EPS8,PRR29,ABL1,GRIN2A
ESYT2,SLC1A3,FOXP2,KIAA1841
AXL,EFCAB12,RNF212,TPM4
KCNIP4,TTC21A,LINC00923,BCL2L14
IFI16,FAM216B,MPZL1,PDXDC1
TGFB1I1,FSD1L,ARNT2,RCOR1
RND3,CDS1,ANO6,SHOC1
SH2D3C,TTLL5,MOCOS,MT-ND4
LIMS2,CCDC13,CHRNB3,MX1
ADA,CEP83,GABBR1,GPBP1
MMRN2,LCA5L,LINC00607,ATP11A
EEF1A2,DDAH1,COL18A1,PREX1
RUNX3,BAIAP3,ASH1L,FNBP1
PARP14,C7orf57,RBMS1,SPAG9
PCDH8,COL21A1,SND1,A2ML1-AS1
RPRML,SCN9A,NSD1,HLA-B
FOXF1,DPYSL3,HP1BP3,CDH2
GPR146,ARHGAP39,CAB39L,SF1
UPB1,AC004949.1,TNFRSF11B,DSTN
KCNQ2,AC090001.1,BHMT2,USP2-AS1
MT1E,WWC1,SSH2,GON4L
SHE,AQP4,STK38,SPATA13
GRIN2B,SOX2,MAN1C1,AC234582.1
EFNA1,AC104078.2,PDE7B,CD47
FZD10,KANK1,CASTOR3,CFAP100
CD163L1,RASSF8-AS1,SAMD11,C2CD2
TUBB4A,C21orf58,AC092535.4,TSPAN5
STX1B,ITPR1,WBP1L,SUN1
PCDH18,AC010255.1,ASAP3,AGT
HIC1,TTC12,RRS1-AS1,ZFAND3
CR1,DZIP3,HK2,ZFP36
CTDSP1,DYNC2LI1,BCKDHB,SYT17
AC002480.2,CRLF1,EGFLAM,HSPA9
PLP1,CFAP74,NFIC,MAP4K3
NLK,C2orf73,NTRK3,VPS53
NEDD9,DCDC2,ANTXR1,AKT3
RNASE1,NME5,BCAT2,TMEM184B
EMP2,SCIN,LONRF3,CSNK1G1
AP000695.2,ANKMY1,RNF24,PUM1
CAMKV,NELFA,NCAM1,SOD3
SV2B,SSBP4,SEMA3A,CAMTA1
TNFRSF10D,DNAJB13,PKNOX2,STRN3
AIF1L,AC110023.1,CD55,DLC1
ST8SIA3,CROCC,PCCA,GRK3
SLC16A1,C20orf96,JUP,CHD7
AC027088.2,JPH1,OSR1,ITGB4
HLA-C,COL28A1,GABARAPL1,USP22
PTGER1,SYT10,AC011306.1,SIK3
IFNAR2,AC092802.1,AP001599.1,FAM182A
AC013565.1,AC110058.1,ZNF83,INPP4A
AL359220.1,SYT17,AGMO,BCAR1
DCBLD1,SRGAP3,ZIC4,YAP1
ISG20,MORN1,KIFC2,METRN
AC015853.2,MROH7,TBC1D16,C8orf37-AS1
CEMIP2,USP2-AS1,PLCB1,EHBP1L1
AGAP2,BBOX1,TBC1D8,NLGN4Y
PPARG,ITGB4,HTRA3,UBA2
NAGS,TTC25,VSTM4,FSD1L
FMNL3,PPM1E,PRICKLE1,LINC02055
AC023449.2,OTX2-AS1,DNAH14,PLEKHA7
FRY,AC009163.1,NRP1,ARFGEF1
CASQ2,NPHP1,LDAH,CTNNA1
IGFBP7,USP43,SH3PXD2B,CYTH3
ADAMTS1,AC097515.1,ARHGAP24,CDC37
APLP1,ZNF19,CRYGN,MAML2
ST6GALNAC1,AC012405.1,LINC02058,ABI2
GATA2-AS1,LINC02018,PLA2G2A,ATP2B4
PHACTR3,LAMA1,CREM,TGM2
MFGE8,PSD2,ADAMTS10,MAK
AL121750.1,CERKL,PVR,TRPS1
STX11,INTU,TJP1,FLACC1
AC069277.1,ERICH3,KLF15,PTEN
KCNC2,IL5RA,KDM5D,SLC12A2
AC104072.1,PCAT1,PCDH9,SDK1
SLC12A5,LINC02055,TSPYL2,MAP4K5
EXTL1,LRRC71,TFDP2,TNS3
ITM2A,FAM182B,PRRX2,TTC23L
VSIR,PFKP,AC009120.2,AL133304.3
SYT13,GAS7,USH1C,KCNN3
CMKLR1,COL8A1,DIAPH2,ZNF709
WFDC1,BTG4,MICAL2,CTNNB1
ZMAT4,HVCN1,PLEKHG4B,MRTFB
TAGLN,TUBB2B,CPQ,PLS3
GLYATL2,ARHGAP18,NLGN2,PALLD
RASSF1,AC090791.1,AC124854.1,ABCC4
PCAT19,FAM189A2,MGAM,IDS
AL589693.1,PTCHD1-AS,IGF1,PITPNB
RNF17,CCDC113,LINC01638,UBA6
PLSCR4,CSGALNACT1,EBF1,SH3BGR
AC000082.1,MLC1,OMD,GNAI2
AL049646.1,MDH1B,LINC01197,ITPKB
CSAG1,KSR2,ADAM9,SPECC1
PTPN5,ULK4,RFLNA,LINC02340
LHCGR,TLN2,GOLGA4,RAPH1
SLC12A7,LRRC27,TNXB,FAM92B
NPIPB12,SATB2,SLC43A1,AC079385.1
SLC39A8,AL645937.2,ABO,DNAH10
RAB3A,NFIB,MCC,VWA5B1
AC100803.4,CHST6,CTIF,DYRK3
CXCL1,DNAAF4,RAB10,ATXN1
LAMP5,WHRN,FOXD2,LINC00609
NTRK3,IQUB,KIF23,AC097518.2
STC1,MLIP,PIAS1,MOB1B
ARPP21,RIBC2,GNA12,CFAP52
CDC42EP2,MTSS2,MEG8,ESYT2
NPIPB4,TCTN1,KDM2A,GPM6B
PELI1,SFMBT2,AC096642.1,RFX3
POLR2G,SLC39A12,TRIM71,GABRG3
ADCY1,PRKX,IGFBP6,PRR29
HERC6,CCDC88C,ATF7IP2,CFAP44-AS1
ST8SIA4,FAM167A-AS1,NID1,CNOT2
C2CD2,ANKRD45,MICAL1,TRIM44
AL450344.1,PPP1R9A,AFAP1L1,PLSCR1
EPHA6,DYRK3,CHD9,WFDC3
GAB3,C1orf194,BCL6,CLSTN1
RAPH1,FAM135B,SNX9,FOXK2
SLC17A7,NRG4,MTRNR2L1,CFAP43
STMN4,C10orf67,AC018618.1,SHROOM4
AC005753.3,DGKI,ENTPD6,TOGARAM2
AL133492.1,KIF24,LINC01807,PPP2CB
GRIA2,AC096564.1,Z93930.2,MBNL1
FAM241A,AC005999.2,MRTFA,GABRG3-AS1
BTNL8,AP1S2,COL1A2,CERS6
BISPR,SHROOM3,IL34,AL024495.1
STARD4,ASB3,SON,CRY1
SHISA3,PTPN3,SESN3,NME7
SNCB,KCNJ3,NIPAL2,FNBP4
CACNA1B,SPATA6L,TSC22D3,CHORDC1
KLHL2,EFCAB10,ZNF780B,HDAC7
CTTNBP2NL,CPNE2,PLAGL1,GALNT8
CDH5,JHY,MRAP,DNAH12
SNCG,GPM6A,TMEM64,IFITM3
GRAP,RNF213-AS1,NFE2L2,CADM1
SORT1,DGLUCY,CREB3L1,RNF220
AKAP12,AC108519.1,GYS1,UBL3
CELF5,ZC2HC1A,MARK3,ROPN1L
GAP43,PTPRD,TTTY14,RAB7A
NPTX1,LMLN,EPB41L2,ST6GAL1
C1QTNF1,AL157911.1,BMP1,TNKS
FHL3,ICA1L,CACNA2D3,ZBTB20-AS5
ARHGAP26,IQANK1,STK24,HNRNPM
GLRA3,GMPR,PDE4D,NXN
NYAP2,RSPH9,HSD17B2,AL357093.2
GJA4,ESRRG,DCAF6,PZP
COL15A1,GABRG3,NLGN4Y,C6orf118
GABRG2,ROR2,SPIDR,EXOC6
CCDC85A,CIT,LMO7,CKB
TAP1,PHYHIPL,HMGA1P4,SP100
LGI3,ARHGEF4,TCF7L1,PRKCE
BST2,AGPAT5,LRRK1,PPP3CA
AF228727.1,C11orf49,ADAMTS5,GNAQ
CDH22,CLASP2,GPR83,TM9SF2
AL353653.1,MUSK,CYP1B1,RNF213-AS1
PAG1,ANXA1,OLFML2B,CHL1
THSD7B,ENKUR,ADORA2B,TMEM173
NPIPB3,CD99,MALRD1,MT-ATP6
TFPI,TSNAXIP1,TPCN1,RSPH9
PCSK2,CLEC16A,MIR99AHG,ZNRF3
GRIN1,CATSPERD,EGFR,ITPKB-AS1
HLA-DOB,MT-CO2,AC092683.1,AK7
TRGC1,B3GLCT,NXPH2,AL390957.1
NFKBIA,IFT43,APCDD1,MYEF2
ASB2,COL5A1,VXN,ZBBX
CAMK2N1,LINC02223,TIMP1,AGFG1
LINC02343,MAPK10,MAGI2,CDKN1A
EPHA1-AS1,NSUN7,NOVA1,MAP2
JPH4,KIAA1257,AC092546.1,PRRC2B
AC068491.2,AL353151.2,CHD3,CLASP1
ARTN,GRAMD1C,HMCN1,ANKRD12
JAG1,ARMH1,DAPK2,RORA-AS1
UNC13C,TMEM161B-AS1,PPFIBP1,OSBPL6
ADGRB3,MORN3,ECM2,CRYAB
SLITRK1,CALM2,CFB,DGKZ
AC064836.3,C5AR1,STXBP6,SLC39A10
VASP,CASC15,ADGRG7,AL591686.2
ANGPT4,PPP1R12B,LINC00472,AC090987.1
AL449043.1,FAM160A1,NEBL,FADS2
CYTL1,AC046134.2,PNPLA7,CRB2
DNPEP,PPP1R14C,AHCYL2,PICALM
CELF3,SH3BGRL2,GATA3,UNC79
LZTS1-AS1,SNX31,WASHC1,ITM2C
SLC8A1,AL513166.1,AL731577.2,TUBA4A
TBL3,LRRC46,SRSF6,HIF1A
ADAMTS14,EZR,TAB2,SPAG6
IFIT3,TRDN,NFATC4,TENM4
MMD,PRKD1,SEM1,NPTN
AC113386.1,TRAF3IP1,AC104389.5,YWHAE
BRSK2,SPATA7,FGF7,ADGRF5
COLEC12,CATIP,CPT1A,EFCAB11
SPC25,LINC00910,TRABD2B,AC013470.2
GIMAP8,RSPH4A,TSKU,AGBL1
SDCBP2,MAP3K15,MPHOSPH8,WHRN
LINC02360,CFAP99,ZMIZ1,EFHD1
ARID5A,UBXN11,AP006248.4,FAM81A
SLC39A4,C11orf16,CENPC,RUVBL2
PTEN,SLC23A2,MOV10L1,FMNL3
CYSLTR2,AL034348.1,TNRC18,TECR
AC013564.1,LINC00886,CPEB3,CBL
PDE1B,KNDC1,FBXL20,SETD5
