earlyAD,lateAD
P2RX7,ZFHX4
RPS6KC1,HNRNPH3
AC016687.2,VMA21
IFRD1,FUT9
NHLRC2,PCGF1
MARCKS,SRRM2
TIAM2,KIF3C
HSPA8,VPS4A
NOP58,IMPA1
SKIL,SMAD4
MAMDC2-AS1,CNTN5
MSANTD4,SRSF3
PTPRO,MBNL1
LINC01515,AK3
RFPL2,NT5DC2
RAD21,TOX
ADAM22,CBX6
MAPK10,TIPARP
AL034348.1,MAMDC2
CHST11,KCNJ9
PDE4D,NEK7
RAPGEF2,ACVR1B
ST8SIA1,RPRM
SRA1,PABPC1L2B
KLHL25,TRIP11
GPC5,WNT2B
SLC4A5,MAPK1
PSD3,SLC2A3
NUFIP2,AL035071.1
PDP1,IFIT1
MTURN,FAP
CNTNAP2,SLC7A14
AC010997.3,FOSL2
TSPAN13,CARMIL2
NCDN,MAP1LC3B
NPTX1,AC092376.2
OPN3,PDXP
PIP5K1B,PJA1
FAM178B,AL355075.4
KMT2E,AC040934.1
UBA6-AS1,NUFIP2
MCL1,SRP9
JAM3,NUDT11
LINC02634,HNRNPH2
MAP4K5,CDK2AP2
AHCTF1,SPATA2
PRSS3,SASH1
NDST3,SH3BGRL
RNF185,RBM22
C9orf153,AC137630.3
CASP6,PNMA8A
AC006333.1,SNN
HSPA13,LINC02795
ZEB1,TRRAP
LINC01551,SH3BGRL3
YIPF7,BASP1
CDK19,ST6GALNAC6
SMAP1,CALCRL
DHDH,DDX56
ZNF292,AC127024.6
AL035670.1,SNHG25
SNTG1,ANK1
PRLR,OPRD1
YAP1,SEC22B
C5AR1,ITPRIPL1
WWC3,HTR1F
BCLAF1,IFIT2
STAT5B,RFX3
KHSRP,NUCKS1
CNTN3,ERBB4
CCDC88A,BAG6
SMIM13,AC016831.1
AMD1,DNAJB1
TRIO,B4GALT2
RCAN2,TMEM250
PLCB1,TMEM145
ZBTB41,AC068279.2
ARHGAP26,LINC00476
LURAP1L-AS1,TCEAL1
VPS13D,GLRA1
FAM171B,ALDH1A1
HIST1H2BD,CREBL2
GRM5,SLCO3A1
AC104695.2,TRHDE-AS1
STEAP2,RHBDL3
TMEM117,LRRC8A
KIF13B,SSBP2
PRELP,SUGT1
ENSA,AL353796.1
HCG17,PLCB4
MED13,GSK3A
YTHDC2,BHLHE22
BNIP3L,NCOA5
EEF1A1,MT-ND6
USP50,SERTAD4
PDS5A,CDK11A
UBR5,MITF
NEK1,LINC02726
TEAD4,SCARA3
C9orf24,STAG2
ANKRD17,TCEAL6
FEM1C,PRKCSH
DEK,PTPA
EML5,PHAX
OPTN,HNRNPA2B1
PCDH9,CCNH
AMZ1,PWRN4
TSPAN5,AC022509.2
NAA50,CRKL
SCAPER,EIF1AX
RNF11,PLPPR2
ZNF800,RLIM
GAS7,ZNF24
LDB2,PMFBP1
ZNF516,NNT-AS1
AC009522.1,PER3
MDGA2,GPR83
SBDS,KIAA2026
SLC25A18,GPR26
GTF2IRD1,GABRA4
CDH10,ARMT1
TACR3,BTBD3
FGF12,NUP210L
RND1,YIPF7
AC068279.2,FAM229A
ANKRD18B,SH3GL1
MYO5A,TPT1
ZDHHC21,RMND5A
DLGAP2,CDR1
ATP2C1,MRPS6
LINC01605,PRB1
GLRA3,LINC01102
SH3BGRL3,BAZ2B
COP1,CTXN2
MKLN1,DNAJA2
NNT,ALCAM
ITGB8,BNIP3
CHL1-AS2,DNAH10OS
RYR2,IRF2BP1
THRB,LY6G5C
ITGA10,LRATD1
PHF14,TRIM28
HCN1,BAD
LINC02795,DEPP1
NRXN1,AC122707.1
ARIH1,IMPAD1
CPNE8,AC084816.1
C11orf52,AC093523.1
PPP4R2,RARB
PI15,THAP10
ZMAT3,IMPG2
AP5M1,AC244131.2
ZNF483,MC1R
STAU2,DST
MND1,ADD3
RNF144A,RANBP6
NUDT11,PHLDA1
YWHAH,LMO4
MPP6,CEMIP
BAIAP2,PDE4DIP
IMPA1,CTSD
NRIP1,YAE1
ATP2B1,LINC01963
LMTK2,ZBTB34
AGBL4,NORAD
TLE3,PCSK1N
LAMA2,CEMIP2
MT-ND3,MYT1L
AC011997.1,CCK
MCHR2,PRXL2A
WASF1,SEZ6L
TNS3,CLGN
TMEM233,ZNF518B
PPP1R12A,SET
RIF1,ANKRD18B
MAPRE2,AC025442.2
AL591378.1,SCN7A
DST,PPP4R2
H1FX,PCBP2
KHDRBS2-OT,AC036108.3
PPP1R16B,KDM6B
GADD45A,ITGB3BP
ABHD3,AL139260.1
FER,AC024560.3
AC018362.1,WFIKKN1
GBE1,KCNJ6
EMX1,TACR3
MRTFA,GPSM1
CSGALNACT1,MSRB3
STAMBPL1,LINC01088
FCGRT,NLRP1
STXBP6,ADAMTS17
AC107398.3,SECTM1
MYH15,SPTB
AC017074.1,GRM3
GRIK2,CASKIN2
MTRNR2L12,DNAJC28
SNAP23,HABP2
AC005726.1,FOXG1
IQCH-AS1,CUL4B
AC103855.3,GNAZ
TMEM47,DDN
PRRG1,FOS
ZNF804A,DEAF1
LZTS3,SAV1
SORCS1,PIK3CA
AC013287.1,LDLRAP1
LINC00461,CTBP1
PPM1L,LTBP3
TJP1,NGFR
SYT14,ADGRL2
ABHD13,AC017076.1
AC016598.1,AC092813.1
FBXO33,MRPL44
PLOD2,NSMCE3
SLC9B1,FZD1
TBC1D5,UBL4A
ZFR,NHS
FOXO3,NFATC1
CCSER1,PIP5K1B
H3F3A,PDP2
RTN1,MZT1
DNAJB6,FOXO3
MAEL,LINC01933
FGF5,AL590434.1
CAMK2G,AC011978.2
LMBRD2,SPP1
