earlyAD,lateAD
GADD45G,MFSD6
TENM4,TTYH1
AL513128.1,AL450332.1
LINC02166,PIM1
AP003393.1,AC023449.2
POTEF,HEXIM1
KCNG1,VIPR1
SLC6A9,MT1H
AEBP1,CAPNS1
CEBPG,GRIN2A
HNF4G,MGAT1
AL157911.1,ATP6V1F
ARHGEF26,AC119674.1
AC025774.1,RUVBL2
PTCHD1,ATP6V1G1
PLS3,ARHGAP29
KATNAL1,GYG2
C5AR1,NIN
BAALC-AS1,EHBP1L1
AC016576.1,PHLDA2
CERS6,JPH2
NAT8L,GGT5
PTCH2,FLNA
ARL4C,SLC12A7
RGPD2,CDK9
CSPP1,SCIN
AC090124.1,ANKRD12
KCTD16,VWC2L
CDK17,AL109741.1
AL136305.1,PKIA
PLTP,AC130650.1
TLE3,LINC02055
WDR90,PPP1CB
MT-CYB,CBFA2T3
PLCH1,SUN2
C15orf65,PIM3
PNMA2,SRP14
MELTF-AS1,FMO3
AL136366.1,NKX6-1
OGFRL1,RPL23A
DYNLL1,SENCR
TEX15,S100A16
LINC01122,RPS6KA3
LMLN,HES4
NTS,TLL1
SPACA9,TMEM255B
RAP1GAP2,TM6SF1
GPC5,NRM
AC006148.1,H3F3B
KCNIP4,RPLP1
C2orf72,LCN6
UBXN11,ZNF219
MRAP2,BARD1
CPNE2,PDE3B
AXDND1,ARL2
AC005410.2,NRN1
LRTOMT,AL096709.1
ETV6,SLC43A3
MTTP,EXOC6
AL449403.2,CYP4B1
LRRC3B,ELN
JUND,TMEM140
HLA-E,RELA
AGBL3,CGNL1
INTU,CDC42EP1
C11orf16,PELO
AL445259.1,AL158071.3
ASAP1,MAGED2
PLOD2,SLITRK5
LRRTM4,LINC00499
PPP2R2C,MTPN
STOML3,TCP1
CDK14,LINC01094
LINC02755,CRIM1
ATG9B,PKHD1L1
THBS1,ADGRD1
FAM181A,HEYL
PECAM1,HHATL
VAC14-AS1,FOXD1
CCDC74B,USHBP1
ARHGEF33,HIC1
ENTPD1,ARPC1B
ITGA11,CD59
OSBPL11,ARL5B
SPP1,PSME1
CD81,ELOVL1
ADGRV1,UPP1
CEP126,LINC02224
PPP1R3C,AF165147.1
AC080038.1,MTUS1
CCDC190,LINC00482
FGFR3,AC131944.1
AL132857.1,RPS15
AC025171.2,CYTIP
SLC22A15,SLC6A9
CPE,RACK1
KIF4A,CLSTN2
AC106897.1,PTPRZ1
HULC,PEAR1
AL390816.2,COL27A1
INPP5E,SMIM29
UROC1,RBM8A
TTC16,C1orf87
AC100849.1,OLAH
SACS,YES1
NUP62CL,AC097515.1
PIH1D2,GNG5
NBAT1,AC091563.1
RTCA-AS1,PGR
AC092691.1,ATF4
BX664727.3,HCFC1R1
TMEM212,LINC02718
LIN7A,ZNF98
DERL3,ARF6
AC126121.3,BAALC
C2orf81,ZNF768
NOTCH1,DCDC2C
AC105345.1,AC090791.1
NKAIN2,ACSL3
A2M,CPLX1
RNF175,SUMO2
KIF27,TOR4A
PNCK,PRKX
CDH6,ROPN1L
PHKG1,MAZ
MORN3,IGSF11
LRP11,AC105285.1
PKIA-AS1,MYLK
LINC01513,FAM78A
SYT17,HSPB7
ZFHX2,HACD1
RGMA,GNA13
LINC00271,TRAPPC1
AC114971.1,FAM27C
TEX9,MCRIP1
SMAD1,FBXO15
PLEKHA7,SOX17
RFX3-AS1,LAYN
AC007402.1,SRPX2
AC053513.1,GRIP2
DYDC1,PDZRN4
VWF,AL157886.1
BTC,SUSD2
TMEM47,COL12A1
TEKT3,C17orf67
AL390755.1,ADCY4
CTXND1,LINC02213
AL137847.2,TSPAN2
C1D,RAPH1
TIGD4,SLC37A1
AC104781.2,GALNTL6
AC012313.6,AL596442.2
NEDD4L,KIAA2012
LRRN1,MRFAP1
TRAF3IP1,EBF4
