earlyAD,lateAD
NF1,GALNT18
OARD1,TKT
VXN,HCG17
IGSF8,BMI1
VAPA,ZFX
EIF4G2,ENOX1
RAPGEF6,TPPP
LARGE1,GCNT1
SERGEF,MIR29B2CHG
ADAM9,BACE2
NGRN,RAB14
PRRG1,AC023282.1
TSC22D4,CDK2AP2
GK5,ZNF704
RBM39,TMTC1
DENND4B,EFCAB2
SFSWAP,SHROOM4
RPS7,RSF1
ABTB2,TDRD6
FAM107B,EPB41
ATRX,AKAP9
SF3B1,ASXL2
MT-ATP6,POU3F2
ARMC8,PSAT1
IARS,LARP1
LONP2,SERINC3
GLS,MARCH8
ARHGEF7,PCDH17
SLC6A15,DCUN1D1
ZBTB16,KLF9
DNMT1,UBR3
SYTL2,AC118549.1
ZNF302,FGF1
GRB10,WASF1
SIRT2,HIP1
NPEPPS,EIF4G3
EEF1D,PIGT
YWHAZ,AKIRIN1
PXK,MSL2
OLIG1,TMEM65
TNRC6C,HINT3
LARP1B,MLLT3
SSR1,SPATS2
TMTC2,ZNF644
IL6ST,TSC22D1
ZFAND3,CAMSAP2
ARFGAP3,ZBTB41
TMEM161B-AS1,GLTP
LARP1,YPEL3
AC068308.1,DNMT1
ADCY5,ZFYVE28
ATE1,ZBTB44
KMT2A,RANBP2
IRF2BP2,TTBK2
ITGB8,AC005261.1
CTNND2,IFT88
PKM,HEATR5A
RPL32,TARSL2
CD81,WIPI1
PYGB,TMEM245
MICU3,N4BP2L2
GIPC2,CCDC3
NME3,SOS1
TTC17,DARS
ZNF638,WDR66
AC016831.7,CACYBP
KMT2E,PPP2R3C
ARHGAP23,PIGM
CHST3,LDLRAP1
MRAS,MAP3K7
CUL4A,CD59
RPLP1,C5orf24
ABCD4,TMSB4X
SH3PXD2A,PNPLA6
SHROOM4,DOCK9
NCOA6,CA3-AS1
ATP6V0A1,INTS6
ITCH,ANKS1A
ELAVL3,ENPP6
BRWD1,TSPAN14
PAFAH1B1,LINC01578
SERHL2,SNX25
KLF3,ECE1
ARHGAP5,DHFR
CAMKMT,BIRC3
HSPA9,LRCH2
ATP6V0C,KIF1B
CAMTA1,AC093849.4
AC245297.3,MSH6
EEA1,MITF
RNF216,GTF2F2
PDCD7,RMND5A
CDH20,DNAJC6
SECISBP2,SP4
WRNIP1,NIN
ZSCAN18,ATP6V1B2
ATXN2L,PLIN3
SOGA1,AGAP3
LDHB,RHOBTB1
BPTF,HMBOX1
CASP7,AK3
IGF1R,ZC3H14
UTP23,EPC2
NDUFA13,PELI1
COMT,WDR17
NFIA,ANKUB1
FOXP1,IRF2BP2
ZMYND11,UST
RPL15,MIA3
ZNF608,PNPLA8
ANKRD44,HSPH1
ROBO1,SNX30
ARNT2,HERC4
ZNF521,ARFGEF3
MAPT,SAP30
HCN2,SOCS4
ZCCHC24,BRWD1
LIFR,BCL6
NLGN3,GPT2
IWS1,DNAJC1
LMBR1,AC066613.2
ARFGEF3,JAKMIP2
DPYSL5,XRN1
BCLAF1,AL627171.2
OGFRL1,GXYLT2
FAM102A,TMOD2
FAM133B,PSMB1
ZNF24,NAA16
SLC36A4,GRK5
DLG2,PRPF4B
PCID2,SMAD4
TARS,SPATA5
INSYN2B,COMT
EIF2S3,BTG1
PIEZO2,ARHGEF12
RALGAPA1,SNX2
KCNIP3,PER1
TANC2,SNX24
TJP1,NLGN1
BEX3,YOD1
NFIC,ARPC5
SPINT2,AC131944.1
URI1,ARID4B
PLCL1,SCN8A
PKD1,KRT10
PPP4R2,RFX7
LZTS3,RANBP6
UBL3,TMEM14B
CD82,GLUL
ASH1L,MEGF10
PRDX1,TACC1
CLASP2,PHF14
ARHGAP32,MAP7D1
MFF,HELLS
NAP1L1,ABCA8
YBX1,MSANTD4
NAA25,DIPK1A
HECTD1,URI1
NAA16,MOSPD2
LMTK3,LAMP1
DUSP3,AL023284.4
MIF,SMARCAD1
NACA,BCAN
EHMT1,CNOT6L
SLC35D2,NRF1
SERTAD2,SLC2A1
CADM4,HECTD2
PSIP1,THSD4
AK3,GPS2
SUGP2,SNX27
THOC2,APOD
ZNF532,ITGB3BP
CYTH1,AK9
PCBP2,ASCC3
TBL1X,LANCL1
RPAP2,ZDHHC11B
CHPT1,GIPC2
ANKHD1,NFASC
TTC37,EIF4A2
MT3,TRABD
ZNF207,RBM33
KIF1A,CHD9
PLAAT3,SGMS1
CDKN1C,ZNF281
G0S2,SH3TC2
PROS1,SPAG9
NIPBL,UIMC1
ELAVL1,ITM2B
LRRC1,AP3B1
TACC1,AC106791.1
ADAR,CAMK2N1
L3MBTL1,NACA
CSNK1A1,CCNI
SH3RF1,INPP4A
UBE2D3,MYCBP2
PDE10A,NAV2
CEP170,AP2M1
CHD2,AASDHPPT
MIR29B2CHG,IP6K2
STK40,KCTD8
PDS5B,PKM
GOLGA8A,ERGIC2
CDK13,AHSA1
MDM4,ANKRD17
PHF21A,STX7
SAMD12,RPL6
HNRNPK,BAALC-AS1
NOL7,ENO1
ANKRD18B,BCKDHB
RPS2,JDP2
OMG,MDH1
AFDN,ASAP1
FCHO1,CDH13
MED13,PAK5
LAYN,THRA
AC036108.3,CEP70
STEAP1B,ATP10D
AEBP2,PCYOX1
LANCL1,CENPC
HERC4,EPB41L2
CC2D1A,DNA2
YY1,PDXDC1
AGAP3,PREX2
FAM49A,UBR1
STARD10,ADSL
CEP97,GOLGA4
FNIP2,PRDX1
HINT1,ENPP4
IVNS1ABP,TRIM8
LINC-PINT,TBL1XR1
TLE4,CEP126
TMEM131,HEXD
ZBTB7A,SLC38A1
RPL30,AHI1
UNC5C,CYP20A1
FSD1,CD164
DLC1,SYNE1
TRIM8,STXBP1
PRKACB,ZNF81
C1orf122,HNRNPA3
MPC1,ZMAT3
UHRF2,FUBP1
SRSF2,TARS
FAN1,SPECC1
EMILIN2,USP9X
SSB,MTMR10
SLCO1A2,RCBTB1
MEF2A,SRP19
LPCAT4,REEP5
KDM5A,TNRC6C-AS1
DACT3,NSMCE2
HABP4,USP53
MARK3,WASHC5
KLF6,SUGT1
DCXR,MBNL2
PSMB1,ZBED5
NSD2,DDRGK1
RAD50,PCBP1
GPBP1,METTL4
SLC25A36,BET1
SQLE,CDKN1B
HAP1,ARFIP1
EYA4,TBC1D8B
HSPA8,ATF7
SMARCA5,TTYH2
CYP51A1,TMED5
PSMD11,NGRN
HLA-C,CRBN
SASH1,OMG
IDI1,KIAA1109
TMED5,COLGALT1
RIF1,PLOD3
AC007001.1,CDK17
NR2C1,ARID2
VPS13D,MAP1LC3B
FAM133A,LRRC8A
CADM1,SNX3
ZFP36L2,PDK1
BRD4,SV2A
HNRNPF,FBXL5
KDM6A,BRMS1L
CCT4,FBXL3
ABHD3,LSM8
WASHC5,NAV3
KANTR,PWWP2A
CYFIP2,ABCA7
SGCD,IDI1
SMCHD1,ZXDC
ACAP3,SET
NADSYN1,NUBPL
NPY2R,TMPO
BACH1,KIF3A
MAGI2,VPS8
LARS,AC058791.1
KAT2A,DGKI
C9orf72,AGMO
NDUFAF4,LAMTOR5-AS1
TAOK3,KAZN
SON,ST13
CCNI,PPHLN1
DOCK10,TBC1D4
SUMF1,PRKAR1A
CR1,ZHX3
AFF4,APP
PTS,KMT2C
