COL16A1,PAFAH1B3
USP9X,IRAK2
GALNT2,SOX11
ZFP36L1,FAM13C
TPD52,AC116345.4
PTMS,MACROD1
PLEKHM2,AC104389.5
GNA14,MYOF
SRSF5,PPP1R36
U2AF1,MTUS1
PRRX1,PDS5B
HIPK3,AC009560.4
ATP11A,FAM78B
PER2,AC090518.1
ITGB4,USH1C
PRKCQ,ZMYND10
CDHR3,RTN2
HRH1,AP006545.3
MARK3,ZNF718
GALNT18,SREK1
ARHGEF17,C21orf91-OT1
HDAC9,FAM216A
KIAA0232,PLCB4
ADA,MAZ
GRK5,ZNF524
ST5,KCNT2
C6orf118,TNC
STX3,EPHA5-AS1
ACSS2,LRRC4B
SUSD6,PGRMC1
IPO7,SLC6A6
YWHAG,GRK7
PKD2,MIR4500HG
FAU,TIFA
SIX3,CPT1B
ZNF708,NXNL2
RPL9,NPIPB15
PARP9,EVA1C
FTL,TCEAL5
IWS1,BX470102.1
DEC1,TAPT1-AS1
PNPLA6,SPTSSB
CITED1,GCNA
MAPK15,WWOX
Z98742.4,COPRS
PTP4A3,KCNN3
DAP3,NRG1
TLE3,GPC6
MXD1,TCEAL7
GLG1,AC100793.2
RPS2,CERKL
STK10,ATP2B3
TNC,SYNGAP1
FAM110C,RGCC
WBP2,DNAH11
ALK,PGR-AS1
SMAD6,OPTN
MORF4L1,CFAP100
SBDS,THBS2
SEPTIN10,UQCRHL
AHDC1,AC068279.2
RPL14,CERCAM
PYCR1,AC006299.1
MT-ND2,FAM182A
CACNA1B,RAPGEF4-AS1
TMCC2,TMTC1
RPL18A,FAM171A1
FLNC,FAM214A
MED15,EHD3
AL133444.1,CACNA1E
DYNLT3,AC069281.1
GGCT,PIK3C2G
DIP2B,FBXL19-AS1
GABRA4,MT1H
CACYBP,LASP1
NDRG1,AP000769.2
AC100793.2,AQP6
UNC5B,CMTM3
DPYSL2,DNAJC22
MAP1LC3B,AC002074.1
CD82,AC063944.3
PEA15,TAGLN2
HP1BP3,STAMBPL1
SEC11C,AC022039.1
MIR100HG,BCL2L1
RASGRP1,ERGIC1
CX3CL1,NEFL
HSPA4L,RAB37
SHMT2,THAP8
SPATA12,AC068193.1
AC005224.2,DUBR
RPL8,TMSB15B-AS1
CLSTN2,ARL15
SMAD9,SMARCA1
COX6C,ACYP1
JOSD1,KSR2
CCDC80,CCDC74B
DDX24,KCNMB3
ATF6,CPNE5
TMEM132A,TC2N
AC104695.2,AC061992.2
FKBP10,AC131009.1
SLC6A9,ARHGAP29
ADAM9,RORC
CHSY1,DZIP1L
TEX14,LINC01387
NEDD4,STAC2
PPP1R1C,GPR78
IQGAP1,CARD6
TMEM132E,RELA-DT
TMTC1,COL9A2
TOP1,AC008014.1
PRRT2,CLEC2L
SMAD3,HOOK2
DUSP3,UBB
ITPKB,LINC00844
DSTN,AL161910.1
SAMD11,AC093849.4
RPS6KL1,CASC15
ARF3,NINJ1
CERS1,AC084361.1
PPP1R18,GATM
AC107021.1,TRMT12
SREBF2,LRATD2
LIMCH1,PCDH15
ARHGAP8,AL731533.3
CFL1,C6
C12orf49,KY
EOGT,AC027097.2
GPR3,IL12RB2
MT-ND1,CACNA1H
CTNNB1,ICAM1
MTCH1,NAP1L5
HINT1,AC092828.1
CLIC1,B3GALT5-AS1
GYG2,CORO6
LCA5,NEXN
LGALS3,C21orf91
AC090578.1,AC025178.1
RADIL,CDON
RPL19,AGRN
AL359317.1,ART3
CAMK2A,MECOM
CFAP73,LINC01945
C1S,FP326651.1
SLC20A2,OTOGL
CCNH,DLGAP2
INTS12,NAB1
RDH11,SH3BGRL
DPP7,AC068205.1
ARHGEF10,AL031731.1
ACLY,ZNF219
INTS10,SPATA13
FRMPD4,AC002069.2
CACNA1C,RND2
IGF2BP2,AP006545.1
KIT,AC026341.1
PABPC1,ARPP19
FOXK2,DUT
NARF,CMBL
HELZ2,GALNT3
UBAC2,CTPS1
MT-CO1,AC004930.1
AC090945.1,CHSY3
RIPOR3,RASSF9
EIF2S3,CTF1
TP53BP2,ADAMTS1
SLFN11,AL389885.1
RHOC,SH3GL1
MT-CO2,TMEM184B
SQLE,COL4A6
LINC01354,CRTAC1
MGST1,C11orf52
LINC02207,RASA4B
RRAD,IL16
MNT,AC087379.2
NFATC2,AC138649.1
AC104461.1,LAMTOR5-AS1
MYC,HACD2
NAA11,AC096642.1
CAB39L,CFAP99
SCN1A,SUMO3
ITPR2,ERF
NMB,CNGA3
RHPN2,AL157997.1
DYSF,LINC01208
IL1R1,LINC02593
DOCK4,NRAV
AKAP10,RASA4
SMURF2,PPM1N
TNFSF14,GLI1
TMIE,LOXL1
CFAP99,HOMER3
DEK,DNM1
NACC2,ZMYM3
KIAA1755,NAT14
RPS6KA5,CHST15
MTURN,HOMER1
GCH1,MAML3
MIF,MCTP1
ZNF516,CPEB1
AC068279.2,AP000302.1
POLR1E,TNFRSF11B
RACK1,OCA2
KIF5B,MPDZ
TCP1,ZNF155
PABPC1L,JUNB
NETO2,RFTN1
VAX1,AC004889.1
LAMP2,AC005400.1
AL133330.1,STAG1
SEC14L2,NPB
ACHE,BIRC7
ATXN2L,AC091435.2
GBP3,BMPR1A
CGAS,KCNIP3
SHC3,AC093334.1
MRFAP1,TANC1
SRP14,DAPK1
BEX2,AC116345.3
TPM2,SNED1
MED13L,KCTD17
OAZ1,ATP6V1B2
RIPK1,DSTN
MBNL1,AC106799.2
MMRN1,VASH1-AS1
MLXIP,CDCA7
SMG1,FP236383.5
RBBP6,NR2F1
DISP2,GLIS3
TSSC4,AL035681.1
ALDH1L2,AL163952.1
PCDHB4,RBPMS2
DAAM1,AL049869.3
